movie_title,release_date,total_gross,inflation_adjusted_gross,release_year,genre_Action,genre_Adventure,genre_Black Comedy,genre_Comedy,genre_Concert/Performance,genre_Documentary,genre_Drama,genre_Horror,genre_Musical,genre_Other,genre_Romantic Comedy,genre_Thriller/Suspense,genre_Western,mpaa_rating_G,mpaa_rating_Not Rated,mpaa_rating_PG,mpaa_rating_PG-13,mpaa_rating_R
Blank Check,1994-02-11,30573770,63170804,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Angie,1994-03-04,9252349,19116981,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Ref,1994-03-09,11325885,23401275,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
D2: The Mighty Ducks,1994-03-25,45604206,94226333,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Holy Matrimony,1994-04-08,713234,1473665,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
White Fang 2: Myth of the White Wolf,1994-04-15,8752399,18083994,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Inkwell,1994-04-22,8864699,18316030,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
When a Man Loves a Woman,1994-04-29,50021959,103354194,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3 Ninjas Kick Back,1994-05-06,11744960,24267154,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Renaissance Man,1994-06-03,24172899,49945474,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Lion King,1994-06-15,422780140,761640898,1994,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
I Love Trouble,1994-06-29,30806194,63651027,1994,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Angels in the Outfield,1994-07-15,50236831,103798152,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
In the Army Now,1994-08-12,28881266,59673787,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Color of Night,1994-08-19,19750470,40804816,1994,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Camp Nowhere,1994-08-26,10442641,21576332,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
It's Pat,1994-08-26,60822,125666,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A Simple Twist of Fate,1994-09-02,3404935,7035189,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Quiz Show,1994-09-14,24787282,50840394,1994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
